,NAME,PERSON_ID,Team_Name
83,Vince Carter,1713,Kings
84,Michael Carter-Williams,203487,Hornets
85,Alex Caruso,1627936,Lakers
86,Omri Casspi,201956,Warriors
87,Willie Cauley-Stein,1626161,Kings
88,Tyler Cavanaugh,1628463,Hawks
89,Mario Chalmers,201596,Grizzlies
90,Tyson Chandler,2199,Suns
91,Wilson Chandler,201163,Nuggets
92,Marquese Chriss,1627737,Suns
93,Ian Clark,203546,Pelicans
94,Jordan Clarkson,203903,Cavaliers
95,Gian Clavell,1628492,
96,Antonius Cleveland,1628499,Hawks
97,John Collins,1628381,Hawks
98,Zach Collins,1628380,Trail Blazers
99,Kyle Collinsworth,1627858,Mavericks
100,Darren Collison,201954,Pacers
101,Nick Collison,2555,Thunder
102,Mike Conley,201144,Grizzlies
103,Pat Connaughton,1626192,Trail Blazers
104,Quinn Cook,1626188,Warriors
105,Charles Cooke,1628429,Pelicans
106,Jack Cooley,204022,Kings
107,Matt Costello,1627856,Spurs
108,DeMarcus Cousins,202326,Pelicans
109,Robert Covington,203496,76ers
110,Allen Crabbe,203459,Nets
111,Torrey Craig,1628470,Nuggets
112,Jamal Crawford,2037,Timberwolves
113,Jordan Crawford,202348,
114,Jae Crowder,203109,Jazz
115,Dante Cunningham,201967,Nets
116,Stephen Curry,201939,Warriors
117,Troy Daniels,203584,Suns
118,Anthony Davis,203076,Pelicans
119,Deyonta Davis,1627738,Grizzlies
120,Ed Davis,202334,Trail Blazers
121,DeMar DeRozan,201942,Raptors
122,Dewayne Dedmon,203473,Hawks
123,Sam Dekker,1626155,Clippers
124,Malcolm Delaney,1627098,Hawks
125,Matthew Dellavedova,203521,Bucks
126,Luol Deng,2736,Lakers
127,Cheick Diallo,1627767,Pelicans
128,Gorgui Dieng,203476,Timberwolves
129,Spencer Dinwiddie,203915,Nets
130,Tyler Dorsey,1628416,Hawks
131,Damyean Dotson,1628422,Knicks
132,Milton Doyle,1628495,Nets
133,PJ Dozier,1628408,Thunder
